ts,Valve,Occp,RaHumidity,RaTemp,SaTemp,ThermEnergy,main_temp,main_humidity,wind_speed,clouds_all,hour,minute,dayofweek,month,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,delta_supply_return,delta_outdoor_indoor,delta_humidity,Valve_lag_1,RaTemp_lag_1,SaTemp_lag_1,RaHumidity_lag_1,RaTemp_diff_1,RaTemp_pct_1,ThermEnergy_diff_1,Valve_change_1
2024-09-11 08:30:00,54.539062,1,77.828384,20.300001,17.800001,6.365695159,16.9,85.0,0.6,0.0,8,30,2,9,0,0.8660254037844387,-0.4999999999999998,5.66553889764798e-16,-1.0,-2.5,-3.400001000000003,7.171616,54.34375,20.9,17.4,77.928406,-0.5999989999999968,-0.028708086124401788,-0.3735008889999998,0.19531200000000126
2024-09-11 08:35:00,51.09375,1,79.269356,19.4,17.4,6.413463967,16.9,85.0,0.5,0.0,8,35,2,9,0,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,-2.0,-2.5,5.730643999999998,54.539062,20.300001,17.800001,77.828384,-0.9000010000000032,-0.04433502244655074,0.04776880799999983,-3.4453120000000013
2024-09-11 08:40:00,53.992188,1,77.75336,20.4,18.1,6.368328057,16.9,85.0,0.5,0.0,8,40,2,9,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-2.299999999999997,-3.5,7.246639999999999,51.09375,19.4,17.4,79.269356,1.0,0.05154639175257736,-0.045135909999999946,2.8984379999999987
2024-09-11 08:45:00,50.710938,1,77.678345,19.6,17.4,6.269780899,17.9,82.0,1.2,0.0,8,45,2,9,0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,-2.200000000000003,-1.7000000000000028,4.321655000000007,53.992188,20.4,18.1,77.75336,-0.7999999999999972,-0.039215686274509665,-0.09854715800000058,-3.28125
2024-09-11 08:50:00,51.492188,1,77.653336,19.5,17.7,6.033944475,17.9,82.0,1.2,0.0,8,50,2,9,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-1.8000000000000007,-1.6000000000000014,4.346664000000004,50.710938,19.6,17.4,77.678345,-0.10000000000000142,-0.005102040816326592,-0.2358364239999995,0.78125
2024-09-11 08:55:00,52.0625,1,77.62833,20.0,17.800001,6.727159564,17.5,82.0,1.8,0.0,8,55,2,9,0,0.8660254037844387,-0.4999999999999998,-0.49999999999999967,0.8660254037844388,-2.1999989999999983,-2.5,4.371669999999995,51.492188,19.5,17.7,77.653336,0.5,0.02564102564102555,0.6932150889999997,0.5703120000000013
2024-09-11 09:00:00,56.140625,1,77.556435,20.0,18.6,6.783956036,17.5,82.0,1.8,0.0,9,0,2,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,-1.3999999999999986,-2.5,4.443565000000007,52.0625,20.0,17.800001,77.62833,0.0,0.0,0.056796472000000264,4.078125
2024-09-11 09:05:00,52.578125,1,77.481415,19.300001,17.9,6.499974762,17.5,84.0,2.3,0.0,9,5,2,9,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-1.4000010000000032,-1.8000010000000017,6.518585000000002,56.140625,20.0,18.6,77.556435,-0.6999989999999983,-0.03499994999999989,-0.2839812740000003,-3.5625
2024-09-11 09:10:00,47.992188,1,77.62833,20.1,18.1,5.612297653,17.5,84.0,2.3,0.0,9,10,2,9,0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,-2.0,-2.6000000000000014,6.371669999999995,52.578125,19.300001,17.9,77.481415,0.7999989999999997,0.04145072324089516,-0.8876771090000002,-4.585937000000001
2024-09-11 09:15:00,52.59375,1,77.53143,19.2,18.1,6.365695159,17.4,84.0,2.3,0.0,9,15,2,9,0,0.7071067811865476,-0.7071067811865475,1.0,2.83276944882399e-16,-1.0999999999999979,-1.8000000000000007,6.46857,47.992188,20.1,18.1,77.62833,-0.9000000000000021,-0.044776119402985204,0.7533975060000007,4.601562000000001
2024-09-11 09:20:00,53.570312,1,77.45641,19.5,18.1,6.413463967,17.4,84.0,2.3,0.0,9,20,2,9,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,-1.3999999999999986,-2.1000000000000014,6.543589999999995,52.59375,19.2,18.1,77.53143,0.3000000000000007,0.015625,0.04776880799999983,0.9765620000000013
